title,worldwide_gross,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,is_international
Stand by Me,"$11,900,000",-,-,"$11,900,000",100%,Yes
The Fable: The Killer Who Doesn't Kill,"$11,325,545",-,-,"$11,325,545",100%,Yes
What Did You Eat Yesterday?,"$11,320,893",-,-,"$11,320,893",100%,Yes
Aline,"$11,149,943","$667,815",6%,"$10,482,128",94%,Yes
Krack,"$10,442,916",-,-,"$10,442,916",100%,Yes
The Last Warrior,"$10,363,914",-,-,"$10,363,914",100%,Yes
Kaiserschmarrndrama,"$10,357,720",-,-,"$10,357,720",100%,Yes
"Caution, Hazardous Wife: The Movie","$10,356,359",-,-,"$10,356,359",100%,Yes
Detective Conan: The Scarlet Alibi,"$10,308,627",-,-,"$10,308,627",100%,Yes
Never Stop,"$10,224,935",-,-,"$10,224,935",100%,Yes
Ainbo,"$10,172,403",-,-,"$10,172,403",100%,Yes
Eiga Sumikkogurashi: Aoi tsukiyo no mahô no ko,"$9,742,510",-,-,"$9,742,510",100%,Yes
Black Box,"$9,738,741",-,-,"$9,738,741",100%,Yes
The Soul,"$9,600,000",-,-,"$9,600,000",100%,Yes
¡A todo tren! Destino Asturias,"$9,544,171",-,-,"$9,544,171",100%,Yes
Baragaki: Unbroken Samurai,"$9,481,437",-,-,"$9,481,437",100%,Yes
Dad,"$9,267,397",-,-,"$9,267,397",100%,Yes
The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$8,990,599",-,-,"$8,377,569",93.2%,Yes
All About My Mother,"$8,900,000",-,-,"$8,900,000",100%,Yes
Moonbound,"$8,864,931",-,-,"$8,864,931",100%,Yes
The Eleventh Chapter,"$8,844,997",-,-,"$8,844,997",100%,Yes
The Medium,"$8,826,689",-,-,"$8,826,689",100%,Yes
The Vault,"$8,803,864",-,-,"$8,803,864",100%,Yes
Kaguya-sama: Love Is War,"$8,794,981",-,-,"$8,794,981",100%,Yes
The Protégé,"$8,737,253","$7,446,823",85.2%,"$1,290,430",14.8%,Yes
Lost Illusions,"$8,635,184","$126,391",1.5%,"$8,508,793",98.5%,Yes
Agent Backkom: King's Bear,"$8,617,592",-,-,"$8,617,592",100%,Yes
Pil's Adventures,"$8,567,345",-,-,"$8,567,345",100%,Yes
Honey Lemon Soda,"$8,441,488",-,-,"$8,441,488",100%,Yes
Delicious,"$8,371,523",-,-,"$8,371,523",100%,Yes
I Don't Have Any Money Left in My Retirement Account,"$8,204,616",-,-,"$8,204,616",100%,Yes
Girls to Buy,"$8,177,284",-,-,"$8,177,284",100%,Yes
Green Snake,"$8,170,000",-,-,"$8,170,000",100%,Yes
New Happy Dad and Son 4,"$8,070,000",-,-,"$8,070,000",100%,Yes
Sunny Sisters,"$7,880,000",-,-,"$7,880,000",100%,Yes
Contra,"$7,762,797",-,-,"$7,762,797",100%,Yes
Hard Hit,"$7,658,021",-,-,"$7,658,021",100%,Yes
Little Canned Men,"$7,600,000",-,-,"$7,600,000",100%,Yes
Pushpa: The Rise - Part 1,"$7,592,374","$1,320,000",17.4%,"$6,272,374",82.6%,Yes
The Mauritanian,"$7,527,030","$836,536",11.1%,"$6,690,494",88.9%,Yes
The Ice Road,"$7,502,846",-,-,"$7,502,846",100%,Yes
Judas and the Black Messiah,"$7,478,009","$5,478,009",73.3%,"$2,000,000",26.7%,Yes
Love Letter 2021 Re-release,"$7,400,000",-,-,"$7,400,000",100%,Yes
Signal: The Movie,"$7,388,603",-,-,"$7,388,603",100%,Yes
