title,worldwide_gross,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,is_international
The Master and Margarita,"$26,998,358",-,-,"$26,998,358",100%,Yes
Doraemon the Movie: Nobita's Earth Symphony,"$26,097,886",-,-,"$26,097,886",100%,Yes
Wicked Little Letters,"$25,734,603","$4,812,858",18.7%,"$20,921,745",81.3%,Yes
The Ministry of Ungentlemanly Warfare,"$24,139,973","$20,416,333",84.6%,"$3,723,640",15.4%,Yes
Immaculate,"$23,857,069","$15,671,307",65.7%,"$8,185,762",34.3%,Yes
Mai,"$21,714,524",-,-,"$21,714,524",100%,Yes
Autumn and the Black Jaguar,"$21,450,258",-,-,"$21,450,258",100%,Yes
Lyod 3,"$20,615,744",-,-,"$20,615,744",100%,Yes
Cabrini,"$20,391,638","$19,502,974",95.6%,"$888,664",4.4%,Yes
Ordinary Angels,"$19,527,504","$19,174,421",98.2%,"$353,083",1.8%,Yes
Unsung Hero,"$19,417,898","$19,417,898",100%,-,-,No
Star Wars: Episode I - The Phantom Menace 2024 Re-release,"$19,372,847","$12,972,847",67%,"$6,400,000",33%,Yes
Golden Kamuy,"$19,077,748",-,-,"$19,077,748",100%,Yes
Cocorico,"$17,762,958",-,-,"$17,762,958",100%,Yes
Face Off 7: One Wish,"$16,480,316",-,-,"$16,480,316",100%,Yes
The Strangers: Chapter 1,"$16,119,099","$14,872,458",92.3%,"$1,246,641",7.7%,Yes
Kleks Academy,"$15,348,026",-,-,"$15,348,026",100%,Yes
A Little Something Extra,"$15,041,964",-,-,"$15,041,964",100%,Yes
The Chosen: S4 Episodes 1-3,"$14,799,620","$14,409,169",97.4%,"$390,451",2.6%,Yes
Guest from the Future,"$14,292,608",-,-,"$14,292,608",100%,Yes
Article 370,"$13,222,021","$1,088,790",8.2%,"$12,133,231",91.8%,Yes
Letuchiy korabl,"$12,539,500",-,-,"$12,539,500",100%,Yes
Citizen of a Kind,"$12,494,455",-,-,"$12,494,455",100%,Yes
Late Night with the Devil,"$11,777,715","$9,957,461",84.5%,"$1,820,254",15.5%,Yes
Maison de retraite 2,"$11,196,943",-,-,"$11,196,943",100%,Yes
Eine Million Minuten,"$11,077,140",-,-,"$11,077,140",100%,Yes
Love Lies Bleeding,"$10,814,230","$8,335,797",77.1%,"$2,478,433",22.9%,Yes
Alienoid: The Return to the Future,"$10,693,858","$60,720",0.6%,"$10,633,138",99.4%,Yes
Cat and Dog,"$10,660,464",-,-,"$10,660,464",100%,Yes
Blue Lock: Episode Nagi,"$10,157,769",-,-,"$10,157,769",100%,Yes
Lisa Frankenstein,"$9,927,714","$9,774,285",98.5%,"$153,429",1.5%,Yes
The Chosen: S4 Episodes 4-6,"$9,482,744","$9,482,744",100%,-,-,No
Onegin,"$8,883,501",-,-,"$8,883,501",100%,Yes
Lohusa,"$8,809,952",-,-,"$8,809,952",100%,Yes
Twilight of the Warriors: Walled In,"$8,160,274",-,-,"$8,160,274",100%,Yes
The Birth of Korea,"$8,022,137",-,-,"$8,022,137",100%,Yes
The Chosen: S4 Episodes 7-8,"$7,766,439","$7,729,152",99.5%,"$37,287",0.5%,Yes
Un mondo a parte,"$7,617,391",-,-,"$7,617,391",100%,Yes
Kolpaçino 4 4'lük,"$7,436,471",-,-,"$7,436,471",100%,Yes
Ducobu passe au vert!,"$7,357,476",-,-,"$7,357,476",100%,Yes
Yolo,"$7,234,926","$2,001,584",27.7%,"$5,233,342",72.3%,Yes
Land of Bad,"$6,872,666","$4,620,045",67.2%,"$2,252,621",32.8%,Yes
Drive-Away Dolls,"$6,834,795","$5,028,215",73.6%,"$1,806,580",26.4%,Yes
SUGA: Agust D Tour 'D-DAY' the Movie,"$6,791,851","$1,951,896",28.7%,"$4,839,955",71.3%,Yes
"April, Come She Will","$6,687,085",-,-,"$6,687,085",100%,Yes
Troll Factory,"$6,676,327",-,-,"$6,676,327",100%,Yes
I.S.S.,"$6,605,079","$6,573,799",99.5%,"$31,280",0.5%,Yes
Baghead,"$6,425,344",-,-,"$6,425,344",100%,Yes
"La planète des singes, une odyssée de l'espèce","$6,334,385",-,-,"$6,334,385",100%,Yes
The Book of Clarence,"$6,205,230","$6,132,813",98.8%,"$72,417",1.2%,Yes
Someone Like You,"$5,937,306","$5,937,306",100%,-,-,No
Force of Nature: The Dry 2,"$5,784,777","$57,154",1%,"$5,727,623",99%,Yes
Air,"$5,466,289",-,-,"$5,466,289",100%,Yes
Matching,"$5,348,492",-,-,"$5,348,492",100%,Yes
The Goat Life,"$5,135,682","$625,000",12.2%,"$4,510,682",87.8%,Yes
Columbia 100th Anniversary Series Columbia 100th Anniversary Series,"$4,873,611","$4,873,611",100%,-,-,No
Table for Six 2,"$4,871,447",-,-,"$4,871,447",100%,Yes
Anweshippin Kandethum,"$4,459,155",-,-,"$4,459,155",100%,Yes
Sami Swoi. Poczatek,"$4,433,525",-,-,"$4,433,525",100%,Yes
No Way Up,"$4,433,282","$148,582",3.4%,"$4,284,700",96.6%,Yes
El Roomie,"$4,418,253",-,-,"$4,418,253",100%,Yes
La familia Benetón,"$4,400,684",-,-,"$4,400,684",100%,Yes
I soliti idioti 3: Il ritorno,"$4,174,340",-,-,"$4,174,340",100%,Yes
Meet the Leroys,"$4,151,252",-,-,"$4,151,252",100%,Yes
Dune 2024 Re-release,"$3,995,610",-,-,"$3,995,610",100%,Yes
Crew,"$3,989,115","$1,500,000",37.6%,"$2,489,115",62.4%,Yes
Dragonkeeper,"$3,817,385","$805,091",21.1%,"$3,012,294",78.9%,Yes
Fighter,"$3,800,771","$1,000,000",26.3%,"$2,800,771",73.7%,Yes
Manjummel Boys,"$3,784,106",-,-,"$3,784,106",100%,Yes
Gap Lai Chi Bau,"$3,749,297",-,-,"$3,749,297",100%,Yes
18×2 Beyond Youthful Days,"$3,744,855",-,-,"$3,744,855",100%,Yes
Daaaaaali!,"$3,739,405",-,-,"$3,739,405",100%,Yes
Frères,"$3,699,030",-,-,"$3,699,030",100%,Yes
Aavesham,"$3,686,811",-,-,"$3,686,811",100%,Yes
Noah's Ark,"$3,638,028",-,-,"$3,638,028",100%,Yes
Onmyoji Zero,"$3,566,021",-,-,"$3,566,021",100%,Yes
Breaking Point,"$3,532,131",-,-,"$3,532,131",100%,Yes
3391 Kilometres,"$3,530,631",-,-,"$3,530,631",100%,Yes
The Moon Thieves,"$3,522,654",-,-,"$3,522,654",100%,Yes
Peppa's Cinema Party,"$3,473,576",-,-,"$3,473,576",100%,Yes
Pare parecchio Parigi,"$3,445,925",-,-,"$3,445,925",100%,Yes
N'avoue jamais,"$3,429,405",-,-,"$3,429,405",100%,Yes
Shrek 2 2024 Re-release,"$3,427,910","$3,427,910",100%,-,-,No
Konets Slavy,"$3,387,736",-,-,"$3,387,736",100%,Yes
Lovesick Ellie,"$3,365,139",-,-,"$3,365,139",100%,Yes
Maria Montessori,"$3,304,322",-,-,"$3,304,322",100%,Yes
Boléro,"$3,254,914",-,-,"$3,254,914",100%,Yes
"Baby boom, or Eggnog 5","$3,236,512",-,-,"$3,236,512",100%,Yes
Lucky Winners,"$3,184,504",-,-,"$3,184,504",100%,Yes
2024 Oscar Nominated Short Films: Documentary,"$3,162,293","$3,162,293",100%,-,-,No
The Good Teacher,"$3,117,639",-,-,"$3,117,639",100%,Yes
Boy Kills World,"$3,091,017","$2,625,321",84.9%,"$465,696",15.1%,Yes
Budda. Dzieciak '98,"$3,085,668",-,-,"$3,085,668",100%,Yes
Verliefd op Bali,"$3,069,304",-,-,"$3,069,304",100%,Yes
The Long Game,"$3,060,040","$3,060,040",100%,-,-,No
Too Old for Fairy Tales 2,"$2,962,925",-,-,"$2,962,925",100%,Yes
Kensuke's Kingdom,"$2,919,215",-,-,"$2,919,215",100%,Yes
We 12,"$2,864,154",-,-,"$2,864,154",100%,Yes
Buzz House: The Movie,"$2,752,593",-,-,"$2,752,593",100%,Yes
Silent Love,"$2,739,320",-,-,"$2,739,320",100%,Yes
Rob N Roll,"$2,739,036",-,-,"$2,739,036",100%,Yes
Noche De Bodas,"$2,734,739",-,-,"$2,734,739",100%,Yes
Detective Conan vs. Kid the Phantom Thief,"$2,734,018",-,-,"$2,734,018",100%,Yes
Following,"$2,733,119",-,-,"$2,733,119",100%,Yes
All the Long Nights,"$2,689,624",-,-,"$2,689,624",100%,Yes
Dog Days,"$2,658,318",-,-,"$2,658,318",100%,Yes
Bade Miyan Chote Miyan,"$2,627,135","$689,505",26.2%,"$1,937,630",73.8%,Yes
De Terugreis,"$2,605,941",-,-,"$2,605,941",100%,Yes
Operation Portugal 2 - La vie de chateau,"$2,570,092",-,-,"$2,570,092",100%,Yes
National Theatre Live: Vanya,"$2,549,166",-,-,"$2,549,166",100%,Yes
Queen Rock Montreal,"$2,537,304","$2,000,000",78.8%,"$537,304",21.2%,Yes
Here & There,"$2,516,647",-,-,"$2,516,647",100%,Yes
The American Society of Magical Negroes,"$2,496,248","$2,480,645",99.4%,"$15,603",0.6%,Yes
Menudas piezas,"$2,493,355",-,-,"$2,493,355",100%,Yes
Kral Sakir: Devler Uyandi,"$2,478,253",-,-,"$2,478,253",100%,Yes
Coppers,"$2,462,266",-,-,"$2,462,266",100%,Yes
50 km/h,"$2,448,552",-,-,"$2,448,552",100%,Yes
10 Lives,"$2,392,105",-,-,"$2,392,105",100%,Yes
The Green Deal,"$2,365,956",-,-,"$2,365,956",100%,Yes
Varshangalkku Shesham,"$2,360,316",-,-,"$2,360,316",100%,Yes
14 jours pour aller mieux,"$2,357,682",-,-,"$2,357,682",100%,Yes
Bonnard: Pierre & Marthe,"$2,357,253",-,-,"$2,357,253",100%,Yes
Alien 2024 Re-release,"$2,345,201","$2,305,647",98.3%,-,-,Yes
Tati Part Time,"$2,343,561",-,-,"$2,343,561",100%,Yes
Premalu,"$2,342,985",-,-,"$2,342,985",100%,Yes
White Bird,"$2,338,344",-,-,"$2,338,344",100%,Yes
Atatürk 1881 - 1919 Film 2 Release,"$2,301,760",-,-,"$2,301,760",100%,Yes
Picnic,"$2,267,453",-,-,"$2,267,453",100%,Yes
Tillu Square,"$2,250,679","$1,870,000",83.1%,"$380,679",16.9%,Yes
It's Raining Men,"$2,213,082",-,-,"$2,213,082",100%,Yes
Jugaremos en el bosque,"$2,155,412",-,-,"$2,155,412",100%,Yes
Race for Glory: Audi vs. Lancia,"$2,129,777",-,-,"$2,129,777",100%,Yes
Don't Lose Your Head!,"$2,113,320",-,-,"$2,113,320",100%,Yes
Anyone But Her,"$2,110,306",-,-,"$2,110,306",100%,Yes
The Ark and the Darkness,"$2,097,560","$2,097,560",100%,-,-,No
Escape from Germany,"$2,082,124","$2,082,124",100%,-,-,No
Aristokratka ve varu,"$2,035,808",-,-,"$2,035,808",100%,Yes
Maybe More,"$2,016,318",-,-,"$2,016,318",100%,Yes
The Blue Angels,"$1,996,276","$1,980,150",99.2%,"$16,126",0.8%,Yes
Out of Darkness,"$1,987,281","$1,951,547",98.2%,"$35,734",1.8%,Yes
Mothers' Instinct,"$1,969,509",-,-,"$1,969,509",100%,Yes
Nedelja,"$1,905,017",-,-,"$1,905,017",100%,Yes
Storm Crashers,"$1,869,859",-,-,"$1,869,859",100%,Yes
Salle des profs,"$1,855,403",-,-,"$1,855,403",100%,Yes
YA - medved,"$1,842,294",-,-,"$1,842,294",100%,Yes
Un altro Ferragosto,"$1,816,797",-,-,"$1,816,797",100%,Yes
Love You as the World Ends: Episode #4.5,"$1,814,466",-,-,"$1,814,466",100%,Yes
Komandir,"$1,808,588",-,-,"$1,808,588",100%,Yes
Valley of Shadows,"$1,805,813",-,-,"$1,805,813",100%,Yes
Trust,"$1,793,949",-,-,"$1,793,949",100%,Yes
Borgo,"$1,758,649",-,-,"$1,758,649",100%,Yes
Sleeping Dogs,"$1,754,561",-,-,"$1,754,561",100%,Yes
Adam & Eve,"$1,752,038",-,-,"$1,752,038",100%,Yes
The Courier,"$1,751,343",-,-,"$1,751,343",100%,Yes
Kardes Takimi,"$1,748,615",-,-,"$1,748,615",100%,Yes
Sting,"$1,744,596","$1,124,510",64.5%,"$620,086",35.5%,Yes
National Theatre Live: Nye,"$1,743,563",-,-,"$1,743,563",100%,Yes
La ferme des Bertrand,"$1,719,910",-,-,"$1,719,910",100%,Yes
Teri Baaton Mein Aisa Uljha Jiya,"$1,699,722",-,-,"$1,699,722",100%,Yes
Dead Man,"$1,689,878",-,-,"$1,689,878",100%,Yes
Like a Prince,"$1,681,549",-,-,"$1,681,549",100%,Yes
Beautiful Wedding,"$1,657,754",-,-,"$1,657,754",100%,Yes
Madame de Sévigné,"$1,640,410",-,-,"$1,640,410",100%,Yes
I Did It My Way,"$1,628,896","$198,405",12.2%,"$1,430,491",87.8%,Yes
The Mummy 2024 Re-release,"$1,579,230","$1,579,230",100%,-,-,No
The Promised Land,"$1,569,531","$257,749",16.4%,"$1,311,782",83.6%,Yes
Romeo è Giulietta,"$1,568,036",-,-,"$1,568,036",100%,Yes
A Silence,"$1,562,685",-,-,"$1,562,685",100%,Yes
Dune IMAX,"$1,550,188","$570,000",36.8%,"$980,188",63.2%,Yes
