rank,title,re_release,gross,num_theaters,total_gross,date,distributor
100,2016: Obama's America,,"$33,448,794","2,017","$33,449,086",Jul 13 2012,Rocky Mountain Pictures
101,House at the End of the Street,,"$31,611,916","3,083","$31,611,916",Sep 21 2012,Relativity Media
102,Extremely Loud & Incredibly Close,,"$31,579,958","2,630","$31,847,881",Dec 25 2012,Warner Bros.
103,The Pirates! Band of Misfits,,"$31,051,126","3,358","$31,051,126",Apr 27 2012,Sony Pictures Releasing
104,Joyful Noise,,"$30,932,113","2,735","$30,932,113",Jan 13 2012,Warner Bros.
105,The Iron Lady,,"$29,875,240","1,244","$30,017,992",Dec 30 2012,The Weinstein Company
106,Chimpanzee,,"$28,972,764","1,567","$28,972,764",Apr 20 2012,Walt Disney Studios Motion Pictures
107,The Five-Year Engagement,,"$28,835,528","2,941","$28,835,528",Apr 27 2012,Universal Pictures
108,Silver Linings Playbook,,"$28,458,986","2,809","$132,092,958",Nov 16 2012,The Weinstein Company
109,Cloud Atlas,,"$26,785,673","2,023","$27,108,272",Oct 26 2012,Warner Bros.
110,One for the Money,,"$26,414,527","2,737","$26,414,527",Jan 27 2012,Lionsgate Films
111,Alex Cross,,"$25,869,488","2,541","$25,888,412",Oct 19 2012,Lionsgate Films
112,Part of Me,,"$25,326,071","2,732","$25,326,071",Jul 5 2012,Paramount Pictures
113,Hugo,,"$25,241,242","2,608","$73,864,507",Nov 23 2012,Paramount Pictures
114,Sparkle,,"$24,397,469","2,244","$24,397,469",Aug 17 2012,TriStar Pictures
115,The Guilt Trip,,"$22,770,921","2,431","$37,134,215",Dec 19 2012,Paramount Pictures
116,Tinker Tailor Soldier Spy,,"$20,582,787",886,"$24,149,393",Dec 9 2012,Focus Features
117,Premium Rush,,"$20,275,446","2,255","$20,275,446",Aug 24 2012,Sony Pictures Releasing
118,Big Miracle,,"$20,157,300","2,133","$20,157,300",Feb 3 2012,Universal Pictures
119,"Monsters, Inc.",2012 3D Release,"$20,013,980","2,618","$34,043,006",Dec 19 2012,Walt Disney Studios Motion Pictures
120,The Secret World of Arrietty,,"$19,202,743","1,522","$19,202,743",Feb 17 2012,Walt Disney Studios Motion Pictures
121,Haywire,,"$18,942,396","2,441","$18,942,396",Jan 20 2012,Relativity Media
122,Man on a Ledge,,"$18,620,000","2,998","$18,620,000",Jan 27 2012,Lionsgate Films
123,A Thousand Words,,"$18,450,127","1,895","$18,450,127",Mar 9 2012,DreamWorks
124,Chernobyl Diaries,,"$18,119,640","2,433","$18,119,640",May 25 2012,Warner Bros.
125,Silent Hill: Revelation,,"$17,529,157","2,933","$17,529,157",Oct 26 2012,Open Road Films (II)
126,Wanderlust,,"$17,450,535","2,002","$17,450,535",Feb 24 2012,Universal Pictures
127,The Perks of Being a Wallflower,,"$17,328,057",745,"$17,742,948",Sep 21 2012,Lionsgate Films
128,Safe,,"$17,142,080","2,271","$17,142,080",Apr 27 2012,Lionsgate Films
129,To Rome with Love,,"$16,685,867",806,"$16,685,867",Jun 22 2012,Sony Pictures Classics
130,The Raven,,"$16,008,272","2,209","$16,008,272",Apr 27 2012,Relativity Media
131,The Master,,"$15,959,567",864,"$16,377,274",Sep 14 2012,The Weinstein Company
132,The Man with the Iron Fists,,"$15,634,090","1,872","$15,634,090",Nov 2 2012,Universal Pictures
133,Seven Psychopaths,,"$15,024,049","1,480","$15,024,049",Oct 12 2012,CBS Films
134,Killing Them Softly,,"$14,836,630","2,424","$15,026,056",Nov 30 2012,The Weinstein Company
135,Lockout,,"$14,326,864","2,335","$14,326,864",Apr 13 2012,FilmDistrict
136,Hit and Run,,"$13,749,300","2,870","$13,749,300",Aug 22 2012,Open Road Films (II)
137,Dredd,,"$13,414,714","2,557","$13,414,714",Sep 21 2012,Lionsgate Films
138,Silent House,,"$12,754,783","2,124","$12,754,783",Mar 9 2012,Open Road Films (II)
139,Playing for Keeps,,"$12,717,917","2,840","$13,103,272",Dec 7 2012,FilmDistrict
140,People Like Us,,"$12,434,778","2,055","$12,434,778",Jun 29 2012,Walt Disney Studios Motion Pictures
141,Gone,,"$11,682,205","2,186","$11,682,205",Feb 24 2012,Lionsgate Films
142,The Words,,"$11,494,838","2,801","$11,494,838",Sep 7 2012,CBS Films
143,Beasts of the Southern Wild,,"$11,249,128",318,"$12,795,746",Jun 27 2012,-
144,Anna Karenina,,"$10,825,005",422,"$12,816,367",Nov 16 2012,Focus Features
145,To the Arctic 3D,,"$10,518,625",52,"$14,560,838",Apr 20 2012,Warner Bros.
146,New Year's Eve,,"$10,339,384","3,505","$54,544,638",Dec 9 2012,Warner Bros.
147,The Intouchables,,"$10,145,870",194,"$10,198,820",May 25 2012,The Weinstein Company
148,The Darkest Hour,,"$9,771,010","2,327","$21,443,494",Dec 25 2012,Summit Entertainment
149,Fun Size,,"$9,409,538","3,016","$9,409,538",Oct 26 2012,Paramount Pictures
150,Bernie,,"$9,206,631",332,"$9,206,470",Apr 27 2012,Millennium Entertainment
151,Salmon Fishing in the Yemen,,"$9,047,981",524,"$9,047,981",Mar 9 2012,CBS Films
152,Cirque du Soleil: Worlds Away,,"$8,090,841",840,"$12,512,862",Dec 21 2012,Paramount Pictures
153,Arbitrage,,"$7,909,613",256,"$7,919,574",Sep 14 2012,Roadside Attractions
154,Friends with Kids,,"$7,241,073",640,"$7,251,073",Mar 9 2012,Roadside Attractions
155,Seeking a Friend for the End of the World,,"$7,078,738","1,625","$7,078,738",Jun 22 2012,Focus Features
156,A Separation,,"$7,068,937",282,"$7,099,055",Dec 30 2012,Sony Pictures Classics
157,The Collection,,"$6,842,058","1,403","$6,842,058",Nov 30 2012,LD Entertainment
158,The Muppets,,"$6,835,954","3,440","$88,631,237",Nov 23 2012,Walt Disney Studios Motion Pictures
159,Born to Be Wild,,"$6,498,379",208,"$25,978,556",Apr 8 2012,Warner Bros.
160,The Twilight Saga: Breaking Dawn - Part 1,,"$6,445,179","4,066","$281,287,133",Nov 18 2012,Summit Entertainment
161,My Week with Marilyn,,"$5,983,702",630,"$14,600,347",Nov 23 2012,The Weinstein Company
162,Chasing Mavericks,,"$5,944,870","2,030","$6,002,756",Oct 26 2012,Twentieth Century Fox
163,Casa de mi Padre,,"$5,909,483",475,"$5,909,483",Mar 16 2012,Lionsgate Films
164,Outlaws,,"$5,672,846",757,"$5,672,846",Jun 1 2012,Arc Entertainment
165,The Sessions,,"$5,529,310",516,"$6,002,451",Oct 19 2012,-
166,Won't Back Down,,"$5,310,554","2,517","$5,310,554",Sep 28 2012,Twentieth Century Fox
167,Hubble,,"$5,275,577",151,"$52,522,904",Mar 19 2012,Warner Bros.
168,October Baby,2012 Re-release,"$5,157,886",390,"$5,157,886",Mar 23 2012,The Samuel Goldwyn Company
169,Hitchcock,,"$5,091,207",561,"$6,008,677",Nov 23 2012,-
170,Young Adult,,"$5,004,756",987,"$16,311,571",Dec 9 2012,Paramount Pictures
171,The Apparition,,"$4,936,819",810,"$4,936,819",Aug 24 2012,Warner Bros.
172,The Sitter,,"$4,830,391","2,752","$30,441,326",Dec 9 2012,Twentieth Century Fox
173,A Dangerous Method,,"$4,278,441",365,"$5,704,709",Nov 23 2012,Sony Pictures Classics
174,"Jeff, Who Lives at Home",,"$4,269,426",513,"$4,269,426",Mar 16 2012,Paramount Vantage
175,Goon,,"$4,168,528",242,"$4,168,528",Feb 24 2012,Magnolia Pictures
176,The Raid: Redemption,,"$4,105,187",881,"$4,105,187",Mar 23 2012,Sony Pictures Classics
177,Safety Not Guaranteed,,"$4,010,957",182,"$4,010,957",Jun 8 2012,FilmDistrict
178,Puss in Boots,,"$4,009,554","3,963","$149,260,504",Oct 28 2012,DreamWorks
179,Bully,2012 Re-release,"$3,863,446",263,"$3,863,446",Apr 13 2012,The Weinstein Company
180,Flying Monsters 3D with David Attenborough,,"$3,825,431",27,"$5,705,874",Oct 7 2012,National Geographic Entertainment
181,The Cold Light of Day,,"$3,763,583","1,511","$3,763,583",Sep 7 2012,Lionsgate Films
182,Nitro Circus: The Movie,,"$3,377,618",800,"$3,377,618",Aug 8 2012,Arc Entertainment
183,Atlas Shrugged II: The Strike,,"$3,336,053","1,012","$3,336,053",Oct 12 2012,Atlas Distribution Company
184,Last Ounce of Courage,,"$3,328,674","1,407","$3,329,674",Sep 14 2012,Rocky Mountain Pictures
185,Pina,,"$3,326,405",84,"$3,524,826",Dec 23 2012,IFC Films
186,Happy Feet Two,,"$3,314,072","3,611","$64,006,466",Nov 18 2012,Warner Bros.
187,Robot & Frank,,"$3,298,969",209,"$3,325,038",Aug 17 2012,The Samuel Goldwyn Company
188,Raiders of the Lost Ark,2012 IMAX Release,"$3,125,613",322,"$3,125,613",Sep 7 2012,Paramount Pictures
189,Celeste & Jesse Forever,,"$3,094,813",586,"$3,094,813",Aug 3 2012,Sony Pictures Classics
190,Jab Tak Hai Jaan,,"$3,047,539",164,"$3,047,539",Nov 13 2012,Yash Raj Films
191,Albert Nobbs,,"$3,014,696",245,"$3,014,696",Jan 27 2012,Roadside Attractions
192,Searching for Sugar Man,,"$3,008,598",157,"$3,696,196",Jul 27 2012,Sony Pictures Classics
193,Talaash: The Answer Lies Within,,"$2,853,901",172,"$2,871,956",Nov 30 2012,Reliance Big Pictures
194,Barfi!,,"$2,804,874",132,"$2,804,874",Sep 14 2012,UTV Motion Pictures
195,Singin' in the Rain,2012 Re-release,"$2,630,639",561,"$1,608,925",Jul 12 2012,Warner Bros.
196,Samsara,,"$2,618,734",70,"$2,672,413",Aug 24 2012,Oscilloscope
197,Girl in Progress,,"$2,609,412",322,"$2,609,412",May 11 2012,Lionsgate Films
198,Jiro Dreams of Sushi,,"$2,552,478",80,"$2,552,478",Mar 9 2012,Magnolia Pictures
199,Ruby Sparks,,"$2,540,106",261,"$2,540,106",Jul 25 2012,-
200,Jack and Jill,,"$2,459,220","3,438","$74,158,157",Nov 11 2012,Sony Pictures Releasing
